id,titulo,empresa,link,data_coleta
300079b3,"Ajudante Geral
Camaçari - BA
Efetivo",MOHAWK,https://mohawk.gupy.io/jobs/10413147?jobBoardSource=gupy_public_page,2026-02-25T20:47:17.749761
9bac3362,"Eletricista de Manutenção – Facilities
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10904817?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
d6659471,"Mecânico de Manutenção – Facilities
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10905693?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
2bd90edd,"Mecânico de Refrigeração – Facilities
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10905842?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
ce4995d0,"TRILHOS I ESTAGIÁRIO(A) MATERIAL RODANTE - AFIRMATIVA PARA PESSOAS COM DEFICIÊNCIA
Salvador - BA
Estágio",MOTIVA,https://motiva.gupy.io/jobs/10901853?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
388b72a9,"TRILHOS l OFICIAL MANUTENÇÃO
Salvador - BA
Efetivo",MOTIVA,https://motiva.gupy.io/jobs/10901751?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
d0cbff51,"TRILHOS l TÉCNICO(A) DE MANUTENÇÃO EM REDE ÁEREA E SINALIZAÇÃO
Salvador - BA
Efetivo",MOTIVA,https://motiva.gupy.io/jobs/10901706?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
1c08a0ad,"Técnica ou Técnico de Segurança do Trabalho I - Paracatu/MG
Paracatu - MG
Efetivo",ENGIE,https://engiebrasilenergia.gupy.io/jobs/10908698?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
6aeecded,"Analista de Custos II
Salvador - BA
Efetivo",PETRORECONCAVO,https://petroreconcavocarreiras.gupy.io/jobs/10907542?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
5cbae596,"Especialista Financeiro
Salvador - BA
Efetivo",PETRORECONCAVO,https://petroreconcavocarreiras.gupy.io/jobs/10907774?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
583c55de,"Auxiliar de Logística Aprendiz - TST ( Afirmativa para mulheres)
Feira de Santana - BA
Aprendiz",SOLAR COCA COLA,https://solarcocacola.gupy.io/jobs/10710692?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
b971d688,"ESTÁGIO - Manutenção
Simões Filho - BA
Estágio",ENGEPACK,https://engepack.gupy.io/jobs/10911585?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
f1c36523,"Representante Comercial II (Truss) - Salvador/BA
Salvador - BA e Híbrido
Efetivo",GRUPO BOTICÁRIO,https://grupoboticario.gupy.io/jobs/10908364?jobBoardSource=gupy_public_page,2026-02-26T20:48:02.541859
ea541ba7,Eletricista Serviço de Rede (Candeias),NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Eletricista-Servio-de-Rede--Candeias-_R-27086?q=Salvador,2026-02-26T20:48:02.541859
09121cdf,Eletricista Serviços de Rede I,NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Eletricista-Servios-de-Rede-I_R-25178?q=Salvador,2026-02-26T20:48:02.541859
f6b52ba8,Eletricista Serviços de Rede I,NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Eletricista-Servios-de-Rede-I_R-25293?q=Salvador,2026-02-26T20:48:02.541859
a68c863a,Especialista de Riscos de Segurança I,NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Especialista-de-Riscos-de-Segurana-I_R-26404-1?q=Salvador,2026-02-26T20:48:02.541859
a72fd0da,ESTAGIÁRIO UNIVERSITÁRIO (30h),BRASKEM,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/job/6425/,2026-02-26T20:48:02.541859
6b05bc21,"Motorista Carreteiro (Container) - Divisão Planejamento
Camaçari - BA
Associado",BYD,https://bydbrasil.gupy.io/jobs/10914516?jobBoardSource=gupy_public_page,2026-02-27T20:41:24.448480
8f1e31bd,"ASSISTENTE DE PLANEJAMENTO (PCD) - CAMAÇARI/BA
Camaçari - BA
Efetivo",TIMAC AGRO,https://timacagro.gupy.io/jobs/10916178?jobBoardSource=gupy_public_page,2026-02-27T20:41:24.448480
a585dd5f,"LÍDER DE MECÂNICA (PCD) - CAMAÇARI/BA
Camaçari - BA
Efetivo",TIMAC AGRO,https://timacagro.gupy.io/jobs/10915962?jobBoardSource=gupy_public_page,2026-02-27T20:41:24.448480
14ddee49,"Jovem Aprendiz
Camaçari - BA
Aprendiz",CIBRA,https://cibra.gupy.io/jobs/10917161?jobBoardSource=gupy_public_page,2026-02-27T20:41:24.448480
073d2430,"ANALISTA DE PROCESSOS
Camaçari - BA
Efetivo",FORTLEV,https://fortlev.gupy.io/jobs/10913576?jobBoardSource=gupy_public_page,2026-02-27T20:41:24.448480
9ef7e475,Jovem Aprendiz - Treinamento e Desenvolvimento,KIMBERLY-CLARK,https://kimberlyclark.wd1.myworkdayjobs.com/pt-BR/GLOBAL/job/Brazil-Camacari/Jovem-Aprendiz---Treinamento-e-Desenvolvimento_883946-1?q=Cama%C3%A7ari,2026-02-27T20:41:24.448480
acfdd10a,OPERADOR PL,BRASKEM,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/job/6431/,2026-02-28T20:36:48.794898
